Timestamp,415nm_filtered,415nm_peak,445nm_filtered,445nm_peak,480nm_filtered,480nm_peak,515nm_filtered,515nm_peak,555nm_filtered,555nm_peak,590nm_filtered,590nm_peak,630nm_filtered,630nm_peak,680nm_filtered,680nm_peak,NIR_filtered,NIR_peak,Fused_filtered,Fused_peak
2025-02-22 21:26:37.642,0.6573749187055831,0,0.6658524140439233,0,0.6678498894093388,0,0.6624481992894151,0,0.653650139741715,0,0.6002661972201654,0,,0,0.6674283794589358,0,0.7187430092178664,0,0.6400185511315905,0
2025-02-22 21:26:37.712,0.6425822458752232,0,0.6766653967791803,0,0.6902904839135773,0,0.6819677616901669,0,0.6610928319566628,0,0.5993038120937079,0,,0,0.6526294777221953,0,0.7147710977179588,0,0.6511535757049879,0
2025-02-22 21:26:37.778,0.6210641865410073,0,0.6715841464301389,0,0.6873839544992615,0,0.6649465307554083,0,0.6401382583047295,0,0.5768915228867206,0,,0,0.6304025147276507,0,0.6941072073891538,0,0.64422050347366,0
2025-02-22 21:26:37.847,0.5962187346044695,0,0.6488082722730354,0,0.6695342774969452,0,0.6411971528271565,0,0.614082281447229,0,0.5378072082111098,0,,0,0.6024237532204718,0,0.6670848092293075,0,0.6205195355957212,0
2025-02-22 21:26:37.915,0.5716821387868867,0,0.619217312510299,0,0.6514068982629215,0,0.6168089060522345,0,0.5878671949542154,0,0.4894994590547712,0,,0,0.5675383493811434,0,0.6326192005806272,0,0.5832885494755793,0
2025-02-22 21:26:37.983,0.5496983711311088,0,0.5747198195248224,0,0.6225950913380504,0,0.5915477972650608,0,0.5597889872763808,0,0.4506694710942422,0,,0,0.5394623237355517,0,0.6024343956799296,0,0.5428484808495887,0
2025-02-22 21:26:38.053,0.5295195323921773,0,0.5444692782174918,0,0.5897506945378816,0,0.5584841519769309,0,0.5232190250759939,0,0.4193353849880523,0,,0,0.5137669638237168,0,0.5762974660251914,0,0.5063001146570698,0
2025-02-22 21:26:38.121,0.4914272722893188,0,0.5084746986469942,0,0.5508061844788478,0,0.5232891314880462,0,0.49166047884632974,0,0.4366336863286979,0,,0,0.48701839585900364,0,0.5529949852764326,0,0.4724384328715303,0
2025-02-22 21:26:38.190,0.49063822170398674,0,0.4902319186033605,0,0.5265090977822793,0,0.49989247399647707,0,0.4719666369472291,0,0.41025764802993814,0,,0,0.4947938994806184,0,0.5475621071976045,0,0.45573786422895174,0
2025-02-22 21:26:38.262,0.5082023464839548,0,0.48289428049504374,0,0.5102662620691399,0,0.48976456742114555,0,0.4748255614037965,0,0.4163767777610363,0,,0,0.5330283012478227,0,0.5718977386687967,0,0.4635610780715545,0
2025-02-22 21:26:38.326,0.557350643252801,0,0.5199596491316063,0,0.539041489041131,0,0.5215981165254551,0,0.5077497381985251,0,0.47338879248324023,0,,0,0.49545005022667027,0,0.6139634372044109,0,0.4996663023521404,0
2025-02-22 21:26:38.395,0.5876886020125687,0,0.5498366520716573,0,0.5746526383335302,0,0.5552471035296812,0,0.5416246743597898,0,0.47595379571772506,0,,0,0.5164847800568267,0,0.6222496758385667,0,0.5405247714477106,0
2025-02-22 21:26:38.463,0.5713356713767743,0,0.5923054297364686,0,0.6065367319487418,0,0.5888635248199813,0,0.5849524731222009,0,0.4848903865002839,0,,0,0.540862195235191,0,0.6460220298118634,0,0.5797897667023967,0
2025-02-22 21:26:38.531,0.5505970750350201,0,0.6074546438979767,0,0.625657349768457,0,0.6312761004325177,0,0.6124026304174222,0,0.4922010303341533,0,,0,0.5613210205179744,0,0.6463171698965419,0,0.5749582102187024,0
2025-02-22 21:26:38.600,0.5533427847343535,0,0.59892668808388,0,0.5897353012288348,0,0.5833938167269657,0,0.5789836627550742,0,0.47498492789228247,0,,0,0.5160113446127483,0,0.6027776926966838,0,0.5497708334249028,0
