Timestamp,Fused_HR
2025-02-21 09:48:46.757687,17.88
2025-02-21 09:48:46.826698,17.88
2025-02-21 09:48:46.894973,17.88
2025-02-21 09:48:46.964793,17.52
2025-02-21 09:48:47.032833,17.88
2025-02-21 09:48:47.100891,17.88
2025-02-21 09:48:47.169343,17.88
2025-02-21 09:48:47.238518,17.88
2025-02-21 09:48:47.307008,17.88
2025-02-21 09:48:47.375258,17.88
2025-02-21 09:48:47.443375,17.88
2025-02-21 09:48:47.511698,17.88
2025-02-21 09:48:47.580423,17.88
2025-02-21 09:48:47.648514,17.88
2025-02-21 09:48:47.716773,17.88
2025-02-21 09:48:47.785588,17.88
2025-02-21 09:48:47.853764,17.88
2025-02-21 09:48:47.922123,17.88
2025-02-21 09:48:47.990338,17.88
2025-02-21 09:48:48.058212,17.88
2025-02-21 09:48:48.126344,17.88
2025-02-21 09:48:48.194667,17.88
2025-02-21 09:48:48.263177,17.88
2025-02-21 09:48:48.332263,17.88
2025-02-21 09:48:48.401004,17.88
2025-02-21 09:48:48.469156,17.88
2025-02-21 09:48:48.535781,17.88
2025-02-21 09:48:48.605246,17.88
2025-02-21 09:48:48.674143,17.88
2025-02-21 09:48:48.743967,17.52
2025-02-21 09:48:48.813855,17.52
2025-02-21 09:48:48.882506,17.52
2025-02-21 09:48:48.950717,17.52
2025-02-21 09:48:49.019280,17.52
2025-02-21 09:48:49.087978,17.52
2025-02-21 09:48:49.157307,17.52
2025-02-21 09:48:49.226024,17.52
2025-02-21 09:48:49.293269,17.52
2025-02-21 09:48:49.361607,17.88
2025-02-21 09:48:49.430059,17.88
2025-02-21 09:48:49.498408,14.48
2025-02-21 09:48:49.567675,14.48
2025-02-21 09:48:49.636120,14.48
2025-02-21 09:48:49.705072,14.48
2025-02-21 09:48:49.775507,14.48
2025-02-21 09:48:49.840318,14.48
2025-02-21 09:48:49.909589,14.48
2025-02-21 09:48:49.975962,12.17
2025-02-21 09:48:50.043953,12.17
2025-02-21 09:48:50.112297,12.17
2025-02-21 09:48:50.180483,12.17
2025-02-21 09:48:50.251593,12.17
2025-02-21 09:48:50.320670,12.17
2025-02-21 09:48:50.387032,12.17
2025-02-21 09:48:50.458593,10.81
2025-02-21 09:48:50.522387,12.17
2025-02-21 09:48:50.595238,12.17
2025-02-21 09:48:50.663855,12.17
2025-02-21 09:48:50.731490,12.17
2025-02-21 09:48:50.798385,12.17
2025-02-21 09:48:50.868540,12.17
2025-02-21 09:48:50.937252,10.81
2025-02-21 09:48:51.002245,10.81
2025-02-21 09:48:51.073375,10.81
2025-02-21 09:48:51.149125,10.81
2025-02-21 09:48:51.207914,10.81
2025-02-21 09:48:51.279169,12.17
2025-02-21 09:48:51.343718,12.17
2025-02-21 09:48:51.418631,12.17
2025-02-21 09:48:51.489297,12.34
2025-02-21 09:48:51.551502,12.17
2025-02-21 09:48:51.621245,12.17
2025-02-21 09:48:51.689333,12.17
2025-02-21 09:48:51.760142,12.17
2025-02-21 09:48:51.825830,12.17
2025-02-21 09:48:51.894717,12.17
2025-02-21 09:48:51.965085,12.17
2025-02-21 09:48:52.032529,12.17
2025-02-21 09:48:52.102496,10.81
2025-02-21 09:48:52.169814,10.81
2025-02-21 09:48:52.239981,10.81
2025-02-21 09:48:52.309774,15.64
2025-02-21 09:48:52.377478,15.64
2025-02-21 09:48:52.446056,10.95
2025-02-21 09:48:52.513571,10.95
2025-02-21 09:48:52.581716,74.10
2025-02-21 09:48:52.651152,74.10
2025-02-21 09:48:52.717262,74.10
2025-02-21 09:48:52.792466,74.10
2025-02-21 09:48:52.860844,74.10
2025-02-21 09:48:52.925621,73.53
2025-02-21 09:48:52.993609,73.53
2025-02-21 09:48:53.061648,73.53
2025-02-21 09:48:53.130413,74.10
2025-02-21 09:48:53.200335,75.07
2025-02-21 09:48:53.266864,75.07
2025-02-21 09:48:53.335937,75.60
2025-02-21 09:48:53.404035,75.07
2025-02-21 09:48:53.472873,75.07
2025-02-21 09:48:53.540146,75.07
2025-02-21 09:48:53.609014,75.60
2025-02-21 09:48:53.677838,75.60
2025-02-21 09:48:53.746681,75.07
2025-02-21 09:48:53.815645,76.41
2025-02-21 09:48:53.883971,76.41
2025-02-21 09:48:53.952525,76.41
2025-02-21 09:48:54.020826,76.15
2025-02-21 09:48:54.089429,76.15
2025-02-21 09:48:54.157684,76.15
2025-02-21 09:48:54.227043,76.15
2025-02-21 09:48:54.295396,76.15
2025-02-21 09:48:54.364846,76.15
