Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:05:38.634
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	85351 samples	
305.5	0.266724	
306	0.267029	
306.5	0.267639	
307	0.270691	
307.5	0.271912	
308	0.272217	
308.5	0.272217	
309	0.271301	
309.5	0.272217	
310	0.271912	
310.5	0.272522	
311	0.271606	
311.5	0.272217	
312	0.271912	
312.5	0.272827	
313	0.272217	
313.5	0.274963	
314	0.276794	
314.5	0.276794	
315	0.2771	
315.5	0.276794	
316	0.2771	
316.5	0.2771	
317	0.276794	
317.5	0.276794	
318	0.27771	
318.5	0.2771	
319	0.276489	
319.5	0.277405	
320	0.27771	
320.5	0.277405	
321	0.2771	
321.5	0.277405	
322	0.2771	
322.5	0.278015	
323	0.276794	
323.5	0.2771	
324	0.276489	
324.5	0.2771	
325	0.2771	
325.5	0.2771	
326	0.280151	
326.5	0.281372	
327	0.281677	
327.5	0.281677	
328	0.282593	
328.5	0.281982	
329	0.281982	
329.5	0.281677	
330	0.281677	
330.5	0.282288	
331	0.281982	
331.5	0.281372	
332	0.281677	
332.5	0.281982	
333	0.282288	
333.5	0.281372	
334	0.282593	
334.5	0.281982	
335	0.281677	
335.5	0.281982	
336	0.281982	
336.5	0.281372	
337	0.281982	
337.5	0.281982	
338	0.281982	
338.5	0.282288	
339	0.281677	
339.5	0.282288	
340	0.282288	
340.5	0.281677	
341	0.281982	
341.5	0.281677	
342	0.281982	
342.5	0.279236	
343	0.27771	
343.5	0.276489	
344	0.277405	
344.5	0.2771	
345	0.276794	
345.5	0.2771	
346	0.276489	
346.5	0.276489	
347	0.2771	
347.5	0.27771	
348	0.277405	
348.5	0.276794	
349	0.277405	
349.5	0.276794	
350	0.276489	
350.5	0.2771	
351	0.277405	
351.5	0.27771	
352	0.276794	
352.5	0.277405	
353	0.277405	
353.5	0.276794	
354	0.276489	
354.5	0.2771	
355	0.2771	
355.5	0.2771	
356	0.276794	
356.5	0.276489	
357	0.276489	
357.5	0.274963	
358	0.273438	
358.5	0.271912	
359	0.272522	
359.5	0.272522	
360	0.271912	
360.5	0.272522	
361	0.272217	
361.5	0.272217	
362	0.271912	
362.5	0.271912	
363	0.272217	
363.5	0.271606	
364	0.271912	
364.5	0.272522	
365	0.272217	
365.5	0.271912	
366	0.270081	
366.5	0.267944	
367	0.267334	
367.5	0.267334	
368	0.267334	
368.5	0.267029	
369	0.267334	
369.5	0.267029	
370	0.266724	
370.5	0.267334	
371	0.266724	
371.5	0.267029	
372	0.267639	
372.5	0.264587	
373	0.263062	
373.5	0.262756	
374	0.262451	
374.5	0.262146	
375	0.263062	
375.5	0.262146	
376	0.262146	
376.5	0.262146	
377	0.262451	
377.5	0.262451	
378	0.26062	
378.5	0.257874	
379	0.256958	
379.5	0.256653	
380	0.257263	
380.5	0.257568	
381	0.257874	
381.5	0.257568	
382	0.257568	
382.5	0.257263	
383	0.255432	
383.5	0.253296	
384	0.25238	
384.5	0.252991	
385	0.25238	
385.5	0.25238	
386	0.25238	
386.5	0.252075	
387	0.252686	
387.5	0.25238	
388	0.250549	
388.5	0.249023	
389	0.247803	
389.5	0.247803	
390	0.247192	
390.5	0.247192	
391	0.247803	
391.5	0.247803	
392	0.246277	
392.5	0.24353	
393	0.24231	
393.5	0.24292	
