Untitled1.acq
Graph Created on: 2024-11-12 11:02:41.566
Recording on: 2024-11-12 11:03:42.061
0.5 msec/sample
1 channels
ppg - PPG, X, PPGED-R
Volts
milliSec	CH1	
	51309 samples	
600.5	-0.499268	
601	-0.501404	
601.5	-0.50354	
602	-0.50293	
602.5	-0.503845	
603	-0.506287	
603.5	-0.508118	
604	-0.507813	
604.5	-0.507813	
605	-0.512085	
605.5	-0.51239	
606	-0.513	
606.5	-0.512695	
607	-0.513	
607.5	-0.516663	
608	-0.517578	
608.5	-0.518494	
609	-0.518494	
609.5	-0.52063	
610	-0.522461	
610.5	-0.523071	
611	-0.523376	
611.5	-0.525513	
612	-0.527344	
612.5	-0.527954	
613	-0.528259	
613.5	-0.531311	
614	-0.532227	
614.5	-0.533142	
615	-0.531921	
615.5	-0.535889	
616	-0.537109	
616.5	-0.537415	
617	-0.537109	
617.5	-0.53772	
618	-0.540466	
618.5	-0.541992	
619	-0.542603	
619.5	-0.542603	
620	-0.545654	
620.5	-0.546875	
621	-0.546875	
621.5	-0.547791	
622	-0.549927	
622.5	-0.552063	
623	-0.553589	
623.5	-0.552979	
624	-0.55542	
624.5	-0.556641	
625	-0.557556	
625.5	-0.556946	
626	-0.557556	
626.5	-0.560608	
627	-0.562439	
627.5	-0.562439	
628	-0.562744	
628.5	-0.565186	
629	-0.566406	
629.5	-0.567017	
630	-0.567322	
630.5	-0.569763	
631	-0.571289	
631.5	-0.57251	
632	-0.571899	
632.5	-0.574341	
633	-0.576477	
633.5	-0.577393	
634	-0.577698	
634.5	-0.577087	
635	-0.579834	
635.5	-0.581055	
636	-0.582581	
636.5	-0.582275	
637	-0.585022	
637.5	-0.585938	
638	-0.586853	
638.5	-0.587463	
639	-0.587158	
639.5	-0.589294	
640	-0.591431	
640.5	-0.592651	
641	-0.591431	
641.5	-0.594788	
642	-0.596008	
642.5	-0.596924	
643	-0.597229	
643.5	-0.59906	
644	-0.601501	
644.5	-0.601807	
645	-0.602112	
645.5	-0.602417	
646	-0.604248	
646.5	-0.605774	
647	-0.606995	
647.5	-0.606689	
648	-0.609741	
648.5	-0.611267	
649	-0.611572	
649.5	-0.612488	
650	-0.611572	
650.5	-0.613708	
651	-0.616455	
651.5	-0.617065	
652	-0.616455	
652.5	-0.616455	
653	-0.618591	
653.5	-0.620728	
654	-0.621033	
654.5	-0.621948	
655	-0.623779	
655.5	-0.62561	
656	-0.626526	
656.5	-0.626526	
657	-0.626221	
657.5	-0.628052	
658	-0.631104	
658.5	-0.630798	
659	-0.631409	
659.5	-0.630493	
660	-0.63324	
660.5	-0.635376	
661	-0.635681	
661.5	-0.635986	
662	-0.636597	
662.5	-0.637817	
663	-0.639648	
663.5	-0.640869	
664	-0.640564	
664.5	-0.643311	
665	-0.645142	
665.5	-0.645752	
666	-0.645142	
666.5	-0.646057	
667	-0.648193	
667.5	-0.650024	
668	-0.650635	
668.5	-0.650635	
669	-0.65094	
669.5	-0.653076	
670	-0.654907	
670.5	-0.656128	
671	-0.655518	
671.5	-0.655518	
672	-0.657349	
672.5	-0.660706	
673	-0.661011	
673.5	-0.661316	
674	-0.6604	
674.5	-0.662231	
675	-0.664978	
675.5	-0.665283	
676	-0.665894	
676.5	-0.665894	
677	-0.667114	
677.5	-0.669556	
678	-0.670776	
678.5	-0.670471	
679	-0.670471	
679.5	-0.671692	
680	-0.674744	
680.5	-0.675049	
681	-0.675049	
681.5	-0.675964	
682	-0.677185	
682.5	-0.679626	
683	-0.680847	
683.5	-0.680542	
684	-0.680237	
684.5	-0.682068	
685	-0.683899	
685.5	-0.684814	
686	-0.68573	
686.5	-0.685425	
687	-0.686646	
687.5	-0.689392	
688	-0.690308	
688.5	-0.690308	
689	-0.690613	
689.5	-0.690308	
690	-0.690918	
690.5	-0.693665	
691	-0.69519	
691.5	-0.695496	
692	-0.695801	
692.5	-0.696411	
693	-0.698853	
693.5	-0.699768	
694	-0.699768	
694.5	-0.699768	
695	-0.699463	
695.5	-0.701294	
696	-0.70282	
696.5	-0.704651	
697	-0.704651	
697.5	-0.704346	
698	-0.706787	
698.5	-0.708313	
699	-0.710144	
699.5	-0.709839	
700	-0.709839	
700.5	-0.710144	
701	-0.71106	
701.5	-0.713196	
702	-0.713501	
702.5	-0.714722	
703	-0.715027	
703.5	-0.714722	
704	-0.715942	
704.5	-0.718689	
705	-0.719604	
705.5	-0.719299	
706	-0.719604	
706.5	-0.719604	
707	-0.720825	
707.5	-0.722961	
708	-0.723877	
708.5	-0.724182	
709	-0.724487	
709.5	-0.724182	
710	-0.724792	
710.5	-0.728455	
711	-0.72937	
711.5	-0.729065	
712	-0.729065	
